Geo_QName,Geo_NAME,Geo_FIPS,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_CT,Geo_AREALAND,Geo_AREAWATR,SE_T014_001,SE_T014_002,SE_T014_003,SE_T014_004,SE_T014_005,SE_T014_006,SE_T014_007,SE_T014_008,SE_T057_001,SE_T057_002,SE_T057_003,SE_T067_001,SE_T067_002,SE_T067_003,SE_T067_004,SE_T067_005,SE_T067_006,SE_T067_007,SE_T090_001,SE_T090_002,SE_T090_003,SE_T090_004,SE_T090_005,SE_T090_006,SE_T090_007,SE_T090_008,SE_T090_009,SE_T090_010,SE_T090_011,SE_T090_012,SE_T090_013,SE_T090_014,SE_T090_015,SE_T090_016,SE_T090_017,SE_T001_001,SE_T053_001,SE_T053_002,SE_T053_003
"Census Tract 101, Androscoggin County, Maine","Census Tract 101","23001010100","00","23","001","010100","880808","168954",1732,1626,8,19,0,0,18,61,125,27,98,1479,637,0,637,549,88,842,940,373,136,87,98,68,31,65,19,9,17,17,12,8,0,0,0,1769,1653,304,1349
"Census Tract 102, Androscoggin County, Maine","Census Tract 102","23001010200","00","23","001","010200","43955247","12202501",4701.29076247821,4547.27995687725,25,0.00176562107246412,32.00487311416,0,0.00134187201507273,97.0028249937159,213.019351206954,25.0006356235861,188.018715583368,3788.23701697277,2462.1456990509,0,2462.1456990509,2397.13397532698,65.0117237239211,1326.09131792187,2052.10819725932,234.010028727692,176.006073736489,256.00706248429,185.006921234604,119.010593726435,91.0072037339757,153.011794348764,110.006144361332,87.0084749811478,220.010664351278,179.007980607248,128.007909982405,36.0022599949728,31.0022599949728,24.0006356235861,23.0021893701299,4701.291,4525.28122812442,1059.09061167344,3466.19061645098
"Census Tract 103, Androscoggin County, Maine","Census Tract 103","23001010300","00","23","001","010300","1204261","1250",2567,2481,10,5,11,0,25,35,162,44,118,1970,1519,0,1519,1416,103,451,1107,112,88,96,144,101,92,89,39,62,138,51,42,18,0,16,19,2561,2457,632,1825
"Census Tract 104, Androscoggin County, Maine","Census Tract 104","23001010400","00","23","001","010400","2256305","20429",2216,2142,0,0,56,0,0,18,109,0,109,1741,1095,0,1095,1068,27,646,757,66,26,29,25,75,48,46,80,56,100,77,76,28,6,19,0,2185,2174,603,1571
"Census Tract 105, Androscoggin County, Maine","Census Tract 105","23001010500","00","23","001","010500","778737","92988",2012,1940,39,12,0,0,0,21,139,44,95,1547,987,6,981,917,64,560,939,167,116,139,113,94,41,65,28,12,58,48,31,20,7,0,0,2047,1931,443,1488
"Census Tract 106, Androscoggin County, Maine","Census Tract 106","23001010600","00","23","001","010600","60497574","937847",3007,2935,0,0,23,0,0,49,175,0,175,2490,1687,18,1669,1600,69,803,1151,38,39,45,50,105,77,81,95,110,162,172,119,35,5,11,7,2972,2907,664,2243
"Census Tract 107, Androscoggin County, Maine","Census Tract 107","23001010700","00","23","001","010700","29312483","472021",3013.94771371772,2908.23015658533,20.9440443375487,17.9520380036132,15.9573671143228,0,9.97335444645176,40.8907532304522,118.682917912776,0,118.682917912776,2341.74362402687,1596.73404687693,0,1596.73404687693,1529.9125720857,66.8214747912267,745.009577149946,1214.75457157782,35.9040760072263,46.8747658983233,75.7974937930334,127.658936914583,118.682917912776,51.8614431215492,88.7628545734207,115.69091157884,39.893417785807,127.658936914583,144.613639473551,134.640285027099,52.8587785661943,10.9706898910969,15.9573671143228,26.9280570054198,3013.948,2907.23282114069,702.124153030204,2205.10866811049
"Census Tract 108, Androscoggin County, Maine","Census Tract 108","23001010800","00","23","001","010800","14778779","2705207",3946,3889,0,25,12,0,0,20,226,12,214,3160,2220,0,2220,2124,96,940,1630,86,85,85,83,122,109,70,125,99,206,131,256,85,33,13,42,3946,3823,952,2871
"Census Tract 201, Androscoggin County, Maine","Census Tract 201","23001020100","00","23","001","020100","712588","135022",1318,1185,13,28,0,6,48,38,40,5,35,1140,485,0,485,376,109,655,788,336,171,92,30,38,26,12,0,7,47,22,0,0,7,0,0,1321,1260,176,1084
"Census Tract 202, Androscoggin County, Maine","Census Tract 202","23001020200","00","23","001","020200","940798","227517",1259,1208,0,11,31,0,0,9,59,7,52,1027,700,0,700,672,28,327,606,110,39,61,88,36,72,49,47,21,66,6,11,0,0,0,0,1312,1200,246,954
"Census Tract 203, Androscoggin County, Maine","Census Tract 203","23001020300","00","23","001","020300","1574290","10199",6955,6548,77,48,89,0,0,193,802,63,739,6024,3301,16,3285,2874,411,2723,2912,805,334,392,272,167,232,132,120,45,133,124,87,42,6,8,13,6955,6763,2458,4305
"Census Tract 204, Androscoggin County, Maine","Census Tract 204","23001020400","00","23","001","020400","1467337","88931",3329,3007,64,20,0,0,95,143,203,61,142,2450,1265,0,1265,1100,165,1185,1531,444,229,137,241,93,104,52,47,19,52,41,59,6,7,0,0,3273,3092,824,2268
"Census Tract 205, Androscoggin County, Maine","Census Tract 205","23001020500","00","23","001","020500","2912149","297731",3863,3702,53,5,20,0,0,83,165,0,165,3116,1941,0,1941,1861,80,1175,1800,238,120,153,214,153,163,92,140,87,165,147,68,30,11,0,19,3863,3748,793,2955
"Census Tract 206, Androscoggin County, Maine","Census Tract 206","23001020600","00","23","001","020600","26187744","819191",2729,2675,20,15,19,0,0,0,162,0,162,2290,1610,0,1610,1538,72,680,1132,65.9999999999999,64.9999999999999,64.9999999999999,75.9999999999999,72.9999999999999,89.9999999999999,44,86.9999999999999,83.9999999999999,138,148,151,18,4,0,23,2729,2679,583.999999999999,2095
"Census Tract 207, Androscoggin County, Maine","Census Tract 207","23001020700","00","23","001","020700","6152011","20677",4924,4796,46,10,40,0,0,32,179,0,179,4072,2565,0,2565,2531,34,1507,2164,177,164,154,189,160,176,98,78,88,273,192,227,67,28,16,77,4924,4794,978,3816
"Census Tract 208, Androscoggin County, Maine","Census Tract 208","23001020800","00","23","001","020800","37006733","850788",7196,6941,47,0,47,0,0,161,315,16,299,5641,3860,0,3860,3723,137,1781,2826,234,172,192,246,192,205,150,238,232,356,267,187,70,43,26,16,7196,6972,1831,5141
"Census Tract 209, Androscoggin County, Maine","Census Tract 209","23001020900","00","23","001","020900","11485513","1145401",4116.70923752178,3963.72004312275,0,24.9982343789275,68.99512688584,0,18.9986581279849,39.997175006284,273.980648793046,8.99936437641391,264.981284416632,3355.76298302723,2062.8543009491,0,2062.8543009491,1896.86602467302,165.988276276079,1292.90868207813,1531.89180274068,141.989971272308,85.9939262635107,99.9929375157101,97.9930787653959,149.989406273565,101.992796266024,166.988205651236,86.9938556386678,119.991525018852,150.989335648722,112.992019392752,111.992090017595,31.9977400050272,31.9977400050272,8.99936437641391,30.9978106298701,4116.709,3981.71877187558,1282.90938832656,2698.80938354902
"Census Tract 301, Androscoggin County, Maine","Census Tract 301","23001030100","00","23","001","030100","37689720","2097303",4392,4324,23,0,7,0,4,34,223,37,186,3404,2361,66,2295,2200,95,1043,1805,124,156,117,173,174,141,141,138,134,167,177,86,23,31,12,11,4392,4197,989,3208
"Census Tract 302, Androscoggin County, Maine","Census Tract 302","23001030200","00","23","001","030200","21418036","504387",4685,4589,0,24,0,9,0,63,238,24,214,3593,2589,139,2450,2359,91,1004,1809,84,121,111,179,110,145,166,168,96,213,224,113,66,7,6,0,4685,4490,1121,3369
"Census Tract 400, Androscoggin County, Maine","Census Tract 400","23001040000","00","23","001","040000","99145260","1976266",3381,3349,7,4,0,0,0,21,201,10,191,2588,1986,7,1979,1923,56,602,1232,48,59,37,49,75,106,60,54,70,171,209,202,32,20,22,18,3381,3252,872,2380
"Census Tract 410, Androscoggin County, Maine","Census Tract 410","23001041000","00","23","001","041000","109380785","12835640",4872.87803680982,4794.63678204415,35.047795755462,0.0409677903959918,0.0364158136853261,0,0.0227598835533288,43.0933155225686,207.270842614285,13,194.270842614285,3762.34402065832,2741.64385735689,0,2741.64385735689,2616.49136613708,125.152491219807,1020.70016330143,1850.7721538168,89.081935580792,69.1069714527006,116.172975115005,118.291326509483,95.2708426142846,153.118351394477,100.202562963625,131.264014649219,100.091039534213,222.291326509483,210.330018311523,242.30725842797,91.1206273828326,32.0250358719087,44.0364158136853,36.061451685594,4872.878,4721.6345060558,1126.60229580215,3595.03221025364
"Census Tract 415, Androscoggin County, Maine","Census Tract 415","23001041500","00","23","001","041500","105075972","893656",5387.17424947246,5303.13306137051,20.0081599069893,29.0069942059908,12.0062170719918,0,8.0038856699949,15.0159312469791,300.046239472939,12,288.046239472939,4079.9123553148,2945.62209576618,9,2936.62209576618,2802.59606177721,134.026033988966,1134.29025954862,1969.47327460538,175.013988411982,111.018262648976,99.0295310919613,118.049736575935,158.046239472939,180.020205483973,130.034582462955,149.045073771941,111.01554267998,236.049736575935,268.056342214926,124.052456544931,66.020594050973,15.0042742369944,18.0062170719918,11.0104913089862,5387.174,5163.13267280351,1382.27355116764,3780.85912163587
"Census Tract 420, Androscoggin County, Maine","Census Tract 420","23001042000","00","23","001","042000","153471153","8970709",4972,4782,7,11,7,0,100,65,332,5,327,3693,2710,0,2710,2653,57,983,1764,103,73,86,145,65,79,142,161,88,182,237,218,46,31,21,87,4972,4758,1410,3348
"Census Tract 430, Androscoggin County, Maine","Census Tract 430","23001043000","00","23","001","043000","97435647","4596113",2106,2046,11,10,0,4,0,35,97,5,92,1676,1084,0,1084,1031,53,592,841,60,40,68,77,61,59,67,67,49,96,89,80,14,6,4,4,2106,2040,478,1562
"Census Tract 440, Androscoggin County, Maine","Census Tract 440","23001044000","00","23","001","044000","50974347","1916688",3227,3118,25,52,7,0,0,25,159,4,155,2431,1385,0,1385,1260,125,1046,1328,178,149,89,111,132,168,74,83,51,78,100,61,31,5,12,6,3227,3104,917,2187
"Census Tract 450, Androscoggin County, Maine","Census Tract 450","23001045000","00","23","001","045000","103735410","8701812",2000.30099015918,1965.31321671812,1.99930133948944,12.9954587066814,6.99755468821304,0,2.99895200923416,9.9965066974472,131.953888406303,13.9951093764261,117.958779029877,1525.46692203044,1036.63774452527,0,1036.63774452527,997.651368405231,38.9863761200441,488.829177505169,728.745338243901,46.9835814780018,34.9877734410652,63.9776428636621,66.9765948728962,59.9790401846832,61.9783415241726,59.9790401846832,52.9814854964702,48.9828828174913,71.9748482216199,77.9727522400882,42.984978799023,23.9916160738733,8.99685602770248,4.9982533487236,0.99965066974472,2000.301,1954.31705935093,585.795292470406,1368.52176688052
"Census Tract 460, Androscoggin County, Maine","Census Tract 460","23001046000","00","23","001","046000","83594263","7536935",4076.60331438819,3971.59276166276,34.0006030128817,38.0039195837313,6.00211054508611,0,7.00090451932262,20.0030150644087,250.039798850195,5.00422109017221,245.035577760023,3153.46009882877,2414.31266217918,0,2414.31266217918,2331.30090342799,83.011758751194,739.147436649587,1496.2197981954,50.014170802721,56.0105527254305,73.0192964122158,62.0202009315385,106.018090386452,73.0186933993341,145.018090386452,106.015979841366,123.014773815603,220.021708463743,235.023517502388,157.012964776958,49.0072361545809,24.0027135579679,10.0015075322044,7.00030150644087,4076.603,3932.58944509191,1090.17668277435,2842.41276231755
