BLOCKCE20,GEOID20,NAME20,HOUSING20,POP20,geometry,pool_count,visitors_per_1000_residents
2030,230010102002030,Block 2030,36,76,"POLYGON ((-70.236816 44.137005, -70.236602 44.137102, -70.236388 44.137158, -70.236243 44.137232, -70.23618 44.137421, -70.236171 44.137633, -70.236056 44.137697, -70.235905 44.137649, -70.235836 44.137686, -70.235797 44.137822, -70.23591 44.137924, -70.235894 44.137965, -70.235772 44.13807, -70.235559 44.138049, -70.235483 44.138077, -70.235443 44.138325, -70.235404 44.138425, -70.235358 44.138497, -70.235082 44.138743, -70.23502 44.13882, -70.235004 44.138902, -70.235018 44.139194, -70.234918 44.139285, -70.234863 44.139524, -70.234783 44.140052, -70.234721 44.140161, -70.234607 44.140193, -70.234471 44.140024, -70.234129 44.139942, -70.234054 44.13983, -70.234032 44.139709, -70.23402 44.139299, -70.233945 44.139129, -70.233779 44.138928, -70.233575 44.138755, -70.233294 44.138564, -70.23312 44.138499, -70.232922 44.138447, -70.2329 44.138398, -70.233047 44.138108, -70.233017 44.138009, -70.232737 44.137832, -70.232532 44.137672, -70.232389 44.137525, -70.232355 44.137434, -70.232329 44.137364, -70.232179 44.137068, -70.231877 44.136761, -70.231809 44.136739, -70.23174 44.136749, -70.231671 44.13684, -70.231586 44.137057, -70.231447 44.137198, -70.23131 44.137294, -70.231248 44.137362, -70.231377 44.137532, -70.231475 44.13763, -70.231497 44.137693, -70.231481 44.137783, -70.231527 44.1378, -70.231618 44.137799, -70.23167 44.137893, -70.231655 44.137983, -70.23147 44.138256, -70.231469 44.138413, -70.231552 44.138507, -70.231635 44.138537, -70.231184 44.138812, -70.231038 44.138926, -70.230908 44.139058, -70.231029 44.139174, -70.231165 44.139254, -70.2312 44.139293, -70.231256 44.139356, -70.231278 44.139473, -70.231368 44.139634, -70.231474 44.139687, -70.231595 44.139803, -70.231708 44.139959, -70.231684 44.140117, -70.231569 44.140285, -70.23143 44.140435, -70.231475 44.140578, -70.231535 44.140672, -70.23155 44.140753, -70.231442 44.140912, -70.231411 44.141011, -70.231456 44.141092, -70.231539 44.141091, -70.231654 44.14104, -70.231769 44.140967, -70.231822 44.140984, -70.231914 44.141104, -70.232026 44.141252, -70.232085 44.141386, -70.232111 44.141427, -70.231309 44.142363, -70.231271 44.142358, -70.230753 44.142288, -70.230482 44.142257, -70.230241 44.142223, -70.230149 44.142214, -70.229958 44.142195, -70.229748 44.142165, -70.229419 44.1421, -70.229003 44.141999, -70.228839 44.141956, -70.228776 44.141944, -70.228645 44.141933, -70.22845 44.141927, -70.227951 44.14197, -70.227568 44.141992, -70.227374 44.141999, -70.227507 44.141678, -70.227592 44.141495, -70.22793 44.140722, -70.227981 44.140581, -70.228021 44.140448, -70.228083 44.140124, -70.228292 44.138628, -70.228367 44.137996, -70.228392 44.137761, -70.228436 44.137458, -70.228489 44.137176, -70.228511 44.137013, -70.228543 44.136855, -70.228582 44.136587, -70.228607 44.136457, -70.228803 44.135781, -70.228892 44.135451, -70.228947 44.13505, -70.228958 44.134666, -70.228944 44.134361, -70.228923 44.134158, -70.228903 44.13407, -70.228873 44.133968, -70.228836 44.13387, -70.228771 44.133769, -70.228724 44.133709, -70.232947 44.134765, -70.237064 44.136803, -70.236816 44.137005), (-70.229798 44.137898, -70.229496 44.137899, -70.229124 44.13788, -70.229053 44.13788, -70.229009 44.137889, -70.228983 44.137922, -70.228982 44.138072, -70.228974 44.138241, -70.228987 44.138323, -70.229003 44.138343, -70.22903 44.138357, -70.229104 44.138375, -70.229322 44.138399, -70.229708 44.138434, -70.229787 44.137987, -70.229798 44.137898), (-70.22978 44.137391, -70.229776 44.137365, -70.229766 44.136946, -70.229754 44.136903, -70.229724 44.136883, -70.229674 44.136872, -70.229282 44.13686, -70.228751 44.136838, -70.228667 44.136848, -70.228702 44.136876, -70.228745 44.136903, -70.228858 44.137032, -70.228924 44.137131, -70.228962 44.13721, -70.229005 44.137349, -70.229021 44.137372, -70.229092 44.13738, -70.229295 44.137391, -70.229416 44.137403, -70.229626 44.137415, -70.229791 44.137416, -70.22978 44.137391))",1,13.16
3003,230010102003003,Block 3003,20,48,"POLYGON ((-70.229574 44.118399, -70.229538 44.118543, -70.229506 44.118623, -70.229442 44.118756, -70.229358 44.118887, -70.229117 44.118852, -70.228541 44.118752, -70.227561 44.118563, -70.227078 44.118477, -70.226555 44.118379, -70.225598 44.118179, -70.225234 44.118117, -70.225142 44.118112, -70.225061 44.118092, -70.22489 44.117393, -70.225026 44.117399, -70.225204 44.117425, -70.225363 44.117458, -70.22563 44.117506, -70.226034 44.117571, -70.228037 44.117941, -70.229126 44.118154, -70.229294 44.118182, -70.229392 44.118202, -70.229469 44.118233, -70.229514 44.118259, -70.229535 44.118285, -70.22957 44.118357, -70.229574 44.118399))",4,83.33
1022,230010104001022,Block 1022,9,26,"POLYGON ((-70.242761 44.082868, -70.242293 44.083412, -70.242186 44.083524, -70.242122 44.083487, -70.24189 44.083381, -70.241651 44.083253, -70.241405 44.083134, -70.242064 44.08244, -70.242413 44.08208, -70.242564 44.081915, -70.243293 44.082269, -70.242761 44.082868))",2,76.92
1000,230010201001000,Block 1000,40,74,"POLYGON ((-70.214451 44.097122, -70.213559 44.09741, -70.213312 44.097026, -70.212887 44.096321, -70.213244 44.096208, -70.213741 44.096044, -70.214355 44.097032, -70.214451 44.097122))",6,81.08
1004,230010201001004,Block 1004,65,116,"POLYGON ((-70.217053 44.096282, -70.217005 44.096192, -70.216912 44.096052, -70.216478 44.095345, -70.216395 44.095227, -70.216869 44.095071, -70.217524 44.096127, -70.217053 44.096282))",8,68.97
1008,230010201001008,Block 1008,45,55,"POLYGON ((-70.216323 44.095226, -70.215951 44.095352, -70.215326 44.094339, -70.215762 44.094204, -70.21611 44.094788, -70.216395 44.095227, -70.216323 44.095226))",7,127.27
1009,230010201001009,Block 1009,24,46,"POLYGON ((-70.215659 44.095447, -70.21548 44.095496, -70.215255 44.095147, -70.215139 44.094945, -70.214856 44.094498, -70.215326 44.094339, -70.215951 44.095352, -70.215659 44.095447))",9,195.65
1011,230010201001011,Block 1011,30,13,"POLYGON ((-70.213244 44.096208, -70.212887 44.096321, -70.21271 44.096052, -70.212259 44.095325, -70.213119 44.095047, -70.213741 44.096044, -70.213244 44.096208))",5,384.62
1013,230010201001013,Block 1013,70,527,"POLYGON ((-70.213386 44.093772, -70.212516 44.09406, -70.212151 44.093482, -70.21182 44.092933, -70.212268 44.092791, -70.212553 44.092693, -70.212695 44.092648, -70.213386 44.093772))",28,53.13
1014,230010201001014,Block 1014,82,212,"POLYGON ((-70.214241 44.093493, -70.213386 44.093772, -70.212695 44.092648, -70.213555 44.092366, -70.214132 44.093323, -70.214241 44.093493))",41,193.4
